METRO_ID,Metropolitan areas,Total GDP(millions),Percapita GDP
ES510,Donostia-San Sebastian,13855.0,41177.0
ES533,Marbella,7056.0,23702.0
FI001,Helsinki,72306.0,49760.0
FI002,Tampere,14791.0,34183.0
FI003,Turku,11934.0,33786.0
FR001,Paris,743025.0,61883.0
FR003,Lyon,91547.0,46913.0
FR004,Toulouse,56754.0,42730.0
FR006,Strasbourg,28168.0,36365.0
FR007,Bordeaux,43774.0,37405.0
FR008,Nantes,35133.0,38736.0
FR009,Lille,43906.0,32650.0
FR010,Montpellier,21289.0,31691.0
FR011,Saint-Etienne,15543.0,29809.0
FR012,Le Havre,9961.0,34531.0
FR013,Rennes,26201.0,36509.0
FR014,Amiens,8890.0,28863.0
FR016,Nancy,14324.0,30130.0
FR017,Metz,10391.0,27968.0
FR018,Reims,10650.0,33762.0
FR019,Orleans,14590.0,34513.0
FR020,Dijon,14611.0,36290.0
FR021,Poitiers,8270.0,30314.0
FR022,Clermont-Ferrand,17453.0,36648.0
FR023,Caen,14057.0,32542.0
FR024,Limoges,9264.0,29310.0
FR025,Besancon,8437.0,30624.0
FR026,Grenoble,22710.0,34518.0
FR028,Saint Denis,8437.0,25375.0
FR030,Fort-de-France,9371.0,27943.0
FR032,Toulon,14041.0,26476.0
FR034,Valenciennes,11690.0,33022.0
FR035,Tours,15076.0,32680.0
FR036,Angers,11782.0,29029.0
FR037,Brest,11016.0,31923.0
FR038,Le Mans,10944.0,30590.0
FR039,Avignon,10199.0,31571.0
FR040,Mulhouse,12237.0,29768.0
FR042,Dunkerque,8415.0,32211.0
FR043,Perpignan,9807.0,24637.0
FR044,Nimes,8430.0,24697.0
FR045,Pau,9250.0,33376.0
FR048,Annecy,9070.0,33272.0
FR205,Nice,30597.0,37400.0
FR215,Rouen,23756.0,34241.0
HU001,Budapest,111355.5,37604.5
HU002,Miskolc,5028.0,17149.5
HU004,Pecs,3995.5,15548.5
HU005,Debrecen,5744.0,17243.5
HU009,Szekesfehervar,6461.5,24413.0
IT001,Rome,183136.0,41475.0
IT002,Milan,263593.0,51768.0
IT003,Naples,74766.0,21849.0
IT004,Turin,65303.0,36758.0
IT005,Palermo,22817.0,22004.0
IT006,Genoa,28976.0,40232.0
IT007,Florence,34318.0,44543.0
IT008,Bari,18322.0,24390.0
IT009,Bologna,35205.0,47373.0
IT010,Catania,13584.0,20615.0
IT011,Venice,19827.0,35188.0
IT012,Verona,19706.0,38202.0
IT016,Perugia,8603.0,30502.0
IT022,Taranto,8403.0,19935.0
IT027,Cagliari,14205.0,29036.0
IT028,Padua,20818.0,38982.0
IT029,Brescia,18084.0,37686.0
IT030,Modena,16044.0,43682.0
IT502,Prato,9704.0,34495.0
IT503,Parma,14544.0,43660.0
IT505,Reggio nell'Emilia,11622.0,40770.0
IT511,Bergamo,11374.0,36516.0
KOR01,Seoul,834538.5,34772.5
KOR02,Gimhae,134675.0,29509.5
KOR03,Dalseong,54505.0,21923.0
KOR04,Gwangsan,41364.5,26124.0
KOR05,Seo,38683.0,25507.5
KOR06,Seongsan,41212.5,36279.0
KOR07,Ulsan,62125.0,65149.5
KOR08,Heungdeok,33876.0,38912.0
KOR09,Deokjin,22649.5,30304.0
KOR10,Sebuk,38402.0,62757.5
KOR11,Gyeongsan,23276.5,39580.0
KOR12,Pohan,18496.5,35696.0
KOR13,Gumi,19325.0,35595.0
KOR14,Jeju,13882.0,29826.5
KOR15,Jinju,13614.5,39395.0
KOR16,Wonju,11060.5,32966.5
KOR17,Iksan,8933.5,29652.5
KOR18,Chuncheon,9048.0,32387.5
KOR19,Gunsan,7320.5,26336.5
LT001,Vilnius,25950.0,38634.0
LT002,Kaunas,9981.0,25608.0
LU001,Luxembourg,50626.5,88645.0
LV001,Riga,28892.0,30682.0
MEX01,Mexico City,471180.0,22587.0
MEX02,Guadalajara,95571.0,17636.0
MEX03,Monterrey,151721.5,28251.0
MEX04,Puebla,29428.5,10681.0
MEX05,Toluca,25791.5,10633.0
MEX06,Tijuana,34157.0,19047.0
MEX07,Leon,24436.5,14428.0
MEX08,Queretaro,35389.5,21741.0
MEX09,Merida,20924.0,13672.0
MEX10,Juarez,25796.5,18101.0
MEX11,San Luis Potosi,21509.5,15303.0
MEX12,Torreon,25603.0,20015.0
MEX13,Mexicali,20341.5,19048.0
MEX14,Cuernavaca,12620.0,11947.0
MEX15,Centro,22462.5,22348.0
MEX16,Culiacan,14698.5,14894.0
MEX17,Morelia,10448.0,10430.0
MEX18,Chihuahua,16970.0,18101.0
MEX19,Veracruz,10988.5,12006.0
MEX20,Hermosillo,21282.0,22840.0
MEX21,Aguascalientes,18683.0,19528.0
MEX22,Acapulco de Juarez,7189.5,8039.0
MEX23,Tampico,14530.0,17203.0
MEX24,Oaxaca de Juarez,7071.0,8275.0
MEX25,Reynosa,14891.0,17549.0
MEX26,Xalapa,10251.0,12105.0
MEX27,Saltillo,20745.0,24490.0
MEX28,Benito Juarez,15889.0,19406.0
MEX29,Celaya,10260.0,14428.0
MEX30,Durango,9405.5,13849.0
MEX31,Tuxtla Gutierrez,4190.0,6696.0
MEX32,Pachuca de Soto,7983.5,11366.0
MEX33,Irapuato,9349.5,14428.0
MEX34,Ahome,8747.0,14894.0
MEX35,Matamoros,9290.5,17580.0
MEX36,Ensenada,10432.0,19041.0
MEX37,Poza Rica de Hidalgo,6533.0,12105.0
MEX38,Tepic,5949.0,11647.0
MEX39,Orizaba,6207.5,12105.0
MEX40,Mazatlan,7392.0,14894.0
MEX41,Cajeme,10878.0,22840.0
MEX42,Nuevo Laredo,7439.5,17581.0
MEX43,Guadalupe,5500.0,12285.0
MEX44,Coatzacoalcos,4495.5,12105.0
MEX45,Tapachula,2472.0,6696.0
MEX46,Victoria,6337.0,17581.0
